"Table 1. Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,313.45,113.58,144.45,168.16,197.33,225.1,262.6,308.34,370.83,475.95,867.63,307.19,116.02,152.14,175.86,202.66,227.68,261.78,302.94,361.62,457.16,813.91,353.23,143.28,182.61,208.43,241.18,272.09,308.69,351.73,416.23,512.54,895.47,-2,2.2,5.3,4.6,2.7,1.2,-0.3,-1.8,-2.5,-4,-6.2,15,23.5,20,18.5,19,19.5,17.9,16.1,15.1,12.1,10
City of Malabon,357.8,210.44,259.32,270.88,301.53,298.82,335.85,370.2,441.04,471.96,617.92,350.28,207.42,240.77,257.47,280.9,314.24,363.46,373.17,410.68,421.75,631.5,380.6,234.69,261.36,296.75,319.68,331.54,397.84,412.9,402.87,520.08,626.51,-2.1,-1.4,-7.2,-5,-6.8,5.2,8.2,0.8,-6.9,-10.6,2.2,8.7,13.2,8.6,15.3,13.8,5.5,9.5,10.7,-1.9,23.3,-0.8
City of Navotas,354.76,185.37,211.91,254.02,282.05,309.95,340.59,390.01,388.52,421.7,762.79,327.42,213.79,244.8,263.94,283.72,287.88,329.86,349.21,367,396.67,536.33,336.98,231.31,252.14,302.14,289.05,310.39,337.73,352.11,370.86,435.88,487.13,-7.7,15.3,15.5,3.9,0.6,-7.1,-3.2,-10.5,-5.5,-5.9,-29.7,2.9,8.2,3,14.5,1.9,7.8,2.4,0.8,1.1,9.9,-9.2
City of Valenzuela,369.33,212.57,263.84,265.46,313.37,323.04,384.17,370.89,411.39,462.37,686.31,370.89,204.51,242.51,270.68,311.89,312.94,339.85,409.29,439.37,549.91,625.53,403.07,257.05,279.32,300.25,345.87,395.58,421.79,428.85,476.51,468.47,655.85,0.4,-3.8,-8.1,2,-0.5,-3.1,-11.5,10.4,6.8,18.9,-8.9,8.7,25.7,15.2,10.9,10.9,26.4,24.1,4.8,8.5,-14.8,4.9
NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Las Piñas,515.19,228.58,294.93,352.93,381.96,434.52,466.85,565.11,578.3,832.03,1017.15,414.53,212.26,251.5,290.78,317.47,355.73,414.59,429.17,490.51,555.31,826.1,594.93,301.84,368.31,408.64,457.64,552.69,561.19,599.59,732.04,864.9,1099,-19.5,-7.1,-14.7,-17.6,-16.9,-18.1,-11.2,-24.1,-15.2,-33.3,-18.8,43.5,42.2,46.4,40.5,44.2,55.4,35.4,39.7,49.2,55.8,33
City of Muntinlupa,461.38,222.46,266.83,300.56,316.18,361.54,381.66,457.1,479.43,622.94,1204.94,399.4,213.52,256.54,289.14,295.1,350.09,387.39,421.13,523.39,533.41,723.26,506.18,320.13,360.12,392.11,428.51,430.52,504.89,515.47,539.63,642.26,926.57,-13.4,-4,-3.9,-3.8,-6.7,-3.2,1.5,-7.9,9.2,-14.4,-40,26.7,49.9,40.4,35.6,45.2,23,30.3,22.4,3.1,20.4,28.1
City of Parañaque,521.16,228.97,297.67,355.93,374.94,447.81,447.64,536,596.11,836.08,1087.85,477.67,216.06,268.33,311.67,315.22,373.77,379.88,467.24,537.38,665.05,1232.87,556.45,292.7,346.87,365.91,438.82,471.71,487.11,570.1,586.8,696.6,1305.96,-8.4,-5.6,-9.9,-12.4,-15.9,-16.5,-15.1,-12.8,-9.9,-20.5,13.3,16.5,35.5,29.3,17.4,39.2,26.2,28.2,22,9.2,4.7,5.9
Pasay City,429.85,214.74,266.32,309.36,371.29,405.7,387.73,479.97,538.19,612.23,712.74,393.06,199.2,240.16,286.06,312.24,361.82,378.28,428.11,499.61,509.89,712.81,477.31,290.61,328.04,356.43,404.18,461.21,490.03,519.58,565.5,569.28,783.94,-8.6,-7.2,-9.8,-7.5,-15.9,-10.8,-2.4,-10.8,-7.2,-16.7,0,21.4,45.9,36.6,24.6,29.4,27.5,29.5,21.4,13.2,11.7,10
City of Makati,651.4,267.45,362.25,418.84,465.56,494.72,509.86,636.98,737.72,827.44,1797.86,579.57,243.55,329.28,374.22,443.42,412.15,548.25,534.04,563.09,659.54,1679.45,799.54,295.07,379.94,482.22,516.77,556.55,617.96,689.57,761.76,887.81,2799.99,-11,-8.9,-9.1,-10.7,-4.8,-16.7,7.5,-16.2,-23.7,-20.3,-6.6,38,21.2,15.4,28.9,16.5,35,12.7,29.1,35.3,34.6,66.7
Pateros,437.85,199.42,249.44,312.51,383.44,413.6,403.86,465.67,545.49,574.7,828.98,360.18,197.28,265.73,263.62,305.3,346.3,359.71,419.82,438.62,452.71,548.23,504.77,249.26,311.12,344.23,418.58,469.24,499.84,518.34,589.07,723.67,916.84,-17.7,-1.1,6.5,-15.7,-20.4,-16.3,-10.9,-9.9,-19.6,-21.2,-33.9,40.1,26.4,17.1,30.6,37.1,35.5,39,23.5,34.3,59.9,67.2
